"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117","test_drep_voting_power[registered_drep0]","test_cases","Tue Apr 01 10:52:06 GMT 2025","passed","Tue Apr 01 10:52:06 GMT 2025","","test_drep","",""
"","326","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Tue Apr 01 10:52:03 GMT 2025","passed","Tue Apr 01 10:52:04 GMT 2025","","test_ada_holder","",""
"","116","test_drep_voting_power[registered_drep1]","test_cases","Tue Apr 01 10:52:07 GMT 2025","passed","Tue Apr 01 10:52:07 GMT 2025","","test_drep","",""
"","127","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Tue Apr 01 10:52:04 GMT 2025","passed","Tue Apr 01 10:52:04 GMT 2025","","test_ada_holder","",""
"","129","test_drep_get_info[registered_drep1]","test_cases","Tue Apr 01 10:52:07 GMT 2025","passed","Tue Apr 01 10:52:07 GMT 2025","","test_drep","",""
"","127","test_drep_getVotes[registered_drep0]","test_cases","Tue Apr 01 10:52:06 GMT 2025","passed","Tue Apr 01 10:52:06 GMT 2025","","test_drep","",""
"","119","test_get_transaction_status","test_cases","Tue Apr 01 10:52:09 GMT 2025","passed","Tue Apr 01 10:52:09 GMT 2025","","test_misc","",""
"","2261","test_list_proposal","test_cases","Tue Apr 01 10:52:09 GMT 2025","passed","Tue Apr 01 10:52:11 GMT 2025","","test_proposal","",""
"","124","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Tue Apr 01 10:52:04 GMT 2025","passed","Tue Apr 01 10:52:04 GMT 2025","","test_ada_holder","",""
"","132","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Tue Apr 01 10:52:04 GMT 2025","passed","Tue Apr 01 10:52:04 GMT 2025","","test_ada_holder","",""
"","536","test_epoch_boundary","test_cases","Tue Apr 01 10:52:13 GMT 2025","passed","Tue Apr 01 10:52:14 GMT 2025","","test_proposal","",""
"","130","test_drep_get_info[registered_drep0]","test_cases","Tue Apr 01 10:52:06 GMT 2025","passed","Tue Apr 01 10:52:07 GMT 2025","","test_drep","",""
"","127","test_drep_getVotes[registered_drep1]","test_cases","Tue Apr 01 10:52:07 GMT 2025","passed","Tue Apr 01 10:52:07 GMT 2025","","test_drep","",""
"","102","test_get_epoch_param","test_cases","Tue Apr 01 10:52:07 GMT 2025","passed","Tue Apr 01 10:52:07 GMT 2025","","test_misc","",""
"","1919","test_get_network_metrics","test_cases","Tue Apr 01 10:52:07 GMT 2025","broken","Tue Apr 01 10:52:09 GMT 2025","","test_misc","",""
"","2261","test_list_drep","test_cases","Tue Apr 01 10:52:04 GMT 2025","passed","Tue Apr 01 10:52:06 GMT 2025","","test_drep","",""
"","1963","test_get_proposal","test_cases","Tue Apr 01 10:52:11 GMT 2025","passed","Tue Apr 01 10:52:13 GMT 2025","","test_proposal","",""
