"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 14 14:20:36 GMT 2024","Fri Jun 14 14:20:36 GMT 2024","211","test_cases","test_proposal","","","","test_get_proposal",""
"passed","Fri Jun 14 14:20:35 GMT 2024","Fri Jun 14 14:20:35 GMT 2024","108","test_cases","test_drep","","","","test_drep_get_info[registered_drep1]",""
"passed","Fri Jun 14 14:20:34 GMT 2024","Fri Jun 14 14:20:34 GMT 2024","169","test_cases","test_drep","","","","test_drep_getVotes[registered_drep0]",""
"passed","Fri Jun 14 14:20:28 GMT 2024","Fri Jun 14 14:20:28 GMT 2024","457","test_cases","test_ada_holder","","","","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]",""
"passed","Fri Jun 14 14:20:35 GMT 2024","Fri Jun 14 14:20:35 GMT 2024","105","test_cases","test_misc","","","","test_get_network_metrics",""
"passed","Fri Jun 14 14:20:34 GMT 2024","Fri Jun 14 14:20:35 GMT 2024","115","test_cases","test_drep","","","","test_drep_getVotes[registered_drep1]",""
"passed","Fri Jun 14 14:20:28 GMT 2024","Fri Jun 14 14:20:34 GMT 2024","5667","test_cases","test_drep","","","","test_list_drep",""
"passed","Fri Jun 14 14:20:35 GMT 2024","Fri Jun 14 14:20:35 GMT 2024","110","test_cases","test_misc","","","","test_get_epoch_param",""
"passed","Fri Jun 14 14:20:34 GMT 2024","Fri Jun 14 14:20:34 GMT 2024","99","test_cases","test_drep","","","","test_drep_voting_power[registered_drep0]",""
"passed","Fri Jun 14 14:20:34 GMT 2024","Fri Jun 14 14:20:34 GMT 2024","140","test_cases","test_drep","","","","test_drep_get_info[registered_drep0]",""
"passed","Fri Jun 14 14:20:35 GMT 2024","Fri Jun 14 14:20:35 GMT 2024","97","test_cases","test_drep","","","","test_drep_voting_power[registered_drep1]",""
"passed","Fri Jun 14 14:20:35 GMT 2024","Fri Jun 14 14:20:35 GMT 2024","97","test_cases","test_misc","","","","test_get_transaction_status",""
"failed","Fri Jun 14 14:20:35 GMT 2024","Fri Jun 14 14:20:36 GMT 2024","938","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Fri Jun 14 14:20:28 GMT 2024","Fri Jun 14 14:20:28 GMT 2024","98","test_cases","test_ada_holder","","","","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]",""
"passed","Fri Jun 14 14:20:28 GMT 2024","Fri Jun 14 14:20:28 GMT 2024","104","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"passed","Fri Jun 14 14:20:28 GMT 2024","Fri Jun 14 14:20:28 GMT 2024","108","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
