"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 15:42:03 GMT 2024","Mon Oct 28 15:42:57 GMT 2024","54097","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Delegate to others","","","2A. Should show delegated DRep Id (on Dashboard, and DRep Directory) after delegation",""
"failed","Mon Oct 28 15:34:53 GMT 2024","Mon Oct 28 15:35:47 GMT 2024","53452","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > proposed as a governance action > Metadata anchor validation","","","7J_1. Should accept valid metadata anchor on proposal submission",""
"passed","Mon Oct 28 15:31:50 GMT 2024","Mon Oct 28 15:31:55 GMT 2024","5344","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","Validation of dRep Registration Form","","","3L_2. Should reject invalid dRep metadata anchor on create dRep",""
"passed","Mon Oct 28 15:30:38 GMT 2024","Mon Oct 28 15:30:43 GMT 2024","5150","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8E. Should share proposed governance action",""
"passed","Mon Oct 28 15:29:19 GMT 2024","Mon Oct 28 15:29:23 GMT 2024","4734","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8I. Should disable poll voting functionality.",""
"passed","Mon Oct 28 15:27:47 GMT 2024","Mon Oct 28 15:28:09 GMT 2024","21128","auth setup","auth.setup.ts","","","","Create Proposal 07 auth",""
"passed","Mon Oct 28 15:35:49 GMT 2024","Mon Oct 28 15:36:42 GMT 2024","52429","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Info Proposal Draft","","","7N. Should submit a draft proposal",""
"passed","Mon Oct 28 15:29:58 GMT 2024","Mon Oct 28 15:30:03 GMT 2024","5768","mobile","6-miscellaneous/miscellaneous.spec.ts","User Snap","","","6N. Should open feedback modal",""
"passed","Mon Oct 28 15:41:06 GMT 2024","Mon Oct 28 15:41:20 GMT 2024","14255","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Bad Proposals","","","5H. Should open a new tab in Bad governance action proposal, when external URL is opened",""
"passed","Mon Oct 28 15:29:19 GMT 2024","Mon Oct 28 15:29:24 GMT 2024","5104","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8F. Should display all comments with count indication.",""
"passed","Mon Oct 28 15:31:22 GMT 2024","Mon Oct 28 15:31:26 GMT 2024","3920","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","","","","3B. Should access DRep registration page",""
"passed","Mon Oct 28 15:38:09 GMT 2024","Mon Oct 28 15:38:17 GMT 2024","7836","dRep","2-delegation/delegation.drep.spec.ts","","","","2Q. Should include DRep status and voting power on the DRep card",""
"passed","Mon Oct 28 15:31:20 GMT 2024","Mon Oct 28 15:31:24 GMT 2024","3460","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","","","","3D. Verify DRep registration form",""
"passed","Mon Oct 28 15:33:52 GMT 2024","Mon Oct 28 15:34:25 GMT 2024","33755","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Create a proposal with proper data","","","7G_2. Should create a proposal with proper treasury data",""
"failed","Mon Oct 28 15:39:07 GMT 2024","Mon Oct 28 15:39:16 GMT 2024","9333","dRep","3-drep-registration/editDRep.dRep.spec.ts","Validation of edit dRep Form","","","3N_1. Should accept valid metadata anchor on edit dRep",""
