"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5312","6I. Should prompt for a username after clicking on proposal discussion link if username is not set","loggedin (desktop)","Wed Dec 11 04:13:33 GMT 2024","passed","Wed Dec 11 04:13:39 GMT 2024","Logged in user","6-miscellaneous/miscellaneous.loggedin.spec.ts","",""
"","6124","8I. Should disable poll voting functionality.","independent (desktop)","Wed Dec 11 04:10:08 GMT 2024","passed","Wed Dec 11 04:10:14 GMT 2024","Mocked proposal","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","57251","7H_1. Should submit a info proposal as governance action","proposal submission","Wed Dec 11 04:08:26 GMT 2024","passed","Wed Dec 11 04:09:24 GMT 2024","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","8153","2Q. Should include DRep status and voting power on the DRep card","dRep","Wed Dec 11 04:19:12 GMT 2024","passed","Wed Dec 11 04:19:20 GMT 2024","","2-delegation/delegation.drep.spec.ts","",""
"","6392","7A. Should open wallet connection popup, when propose a governance action in disconnected state.","independent (desktop)","Wed Dec 11 04:09:44 GMT 2024","passed","Wed Dec 11 04:09:50 GMT 2024","","7-proposal-submission/proposalSubmission.spec.ts","",""
"","3692","3B. Should access DRep registration page","loggedin (desktop)","Wed Dec 11 04:12:16 GMT 2024","passed","Wed Dec 11 04:12:20 GMT 2024","","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","4869","4A_2. Should access Governance Actions page without connecting wallet","mobile","Wed Dec 11 04:10:28 GMT 2024","passed","Wed Dec 11 04:10:33 GMT 2024","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","13906","8A. Should access proposed governance actions in disconnected state","mobile","Wed Dec 11 04:11:09 GMT 2024","passed","Wed Dec 11 04:11:23 GMT 2024","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","10423","6O. Should verify a bug report form","independent (desktop)","Wed Dec 11 04:09:31 GMT 2024","passed","Wed Dec 11 04:09:41 GMT 2024","User Snap","6-miscellaneous/miscellaneous.spec.ts","",""
"","22094","Create Proposal 05 auth","auth setup","Wed Dec 11 04:08:14 GMT 2024","passed","Wed Dec 11 04:08:36 GMT 2024","","auth.setup.ts","",""
"","47217","7H_2. Should submit a treasury proposal as governance action","proposal submission","Wed Dec 11 04:08:30 GMT 2024","failed","Wed Dec 11 04:09:18 GMT 2024","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","19952","8B_2. Should sort the list of proposed governance actions.","mobile","Wed Dec 11 04:11:11 GMT 2024","passed","Wed Dec 11 04:11:31 GMT 2024","Filter and sort proposals","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","6251","7A. Should open wallet connection popup, when propose a governance action in disconnected state.","mobile","Wed Dec 11 04:11:06 GMT 2024","passed","Wed Dec 11 04:11:12 GMT 2024","","7-proposal-submission/proposalSubmission.spec.ts","",""
"","5652","1E. Should hide incompatible wallets when connecting","independent (desktop)","Wed Dec 11 04:08:46 GMT 2024","passed","Wed Dec 11 04:08:51 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","14364","5D_1. Should accept valid data in provide context","dRep","Wed Dec 11 04:21:11 GMT 2024","passed","Wed Dec 11 04:21:25 GMT 2024","Proposal checks > Validate provide context about vote","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","27882","2U. Should show delegated voting power to Abstain","delegation","Wed Dec 11 04:23:18 GMT 2024","passed","Wed Dec 11 04:23:46 GMT 2024","Abstain delegation","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","55722","8G. Should display the proper likes and dislikes count","loggedin (desktop)","Wed Dec 11 04:16:57 GMT 2024","passed","Wed Dec 11 04:17:52 GMT 2024","Proposal created logged in state","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","",""
"","100602","7F_2. Should reject invalid data in treasury Proposal form","loggedin (desktop)","Wed Dec 11 04:14:22 GMT 2024","passed","Wed Dec 11 04:16:02 GMT 2024","Proposal created logged state > Reject invalid  data","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","12062","6C. Navigation within the dApp","mobile","Wed Dec 11 04:10:33 GMT 2024","passed","Wed Dec 11 04:10:45 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","5978","8I. Should disable poll voting functionality.","mobile","Wed Dec 11 04:11:33 GMT 2024","passed","Wed Dec 11 04:11:39 GMT 2024","Mocked proposal","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","10443","2J. Should search by DRep id and DRep givenname","dRep","Wed Dec 11 04:19:20 GMT 2024","passed","Wed Dec 11 04:19:31 GMT 2024","","2-delegation/delegation.drep.spec.ts","",""
"","17528","4K. Should display correct vote counts on governance details page for disconnect state","independent (desktop)","Wed Dec 11 04:09:13 GMT 2024","passed","Wed Dec 11 04:09:30 GMT 2024","","4-proposal-visibility/proposalVisibility.spec.ts","",""
