"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"7","2. Delegation","2","","0","0","","0"
"0","","0","","0","98","","0"
"0","3. DRep registration","0","","1","0","","0"
"1","8. Proposal Discussion Forum","0","","9","0","","0"
"0","6. Miscellaneous","2","","8","0","","0"
"0","Setup","1","","15","0","Authentication","0"
"9","6. Miscellaneous","6","","21","0","6A. Should be accessible from mobile","0"
"0","5. Proposal functionality","0","","2","0","","0"
"1","4. Proposal visibility","1","","1","0","","0"
"0","1. Wallet connect","0","","4","0","","0"
"0","7. Proposal submission","2","","1","0","","0"
"0","Setup","1","","2","0","Cleanup","0"
"0","Setup","0","","1","0","Faucet","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
