"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","6. Miscellaneous","6","","61","0","6A. Should be accessible from mobile","0"
"2","9. Outcomes","2","","22","0","","0"
"0","8. Proposal Discussion Forum","0","","10","7","","0"
"0","7. Proposal submission","0","","18","20","","0"
"0","3. DRep registration","1","","9","13","","0"
"0","2. Delegation","0","","18","11","","0"
"0","4. Proposal visibility","2","","13","6","","0"
"1","11. Proposal Budget","0","","10","5","","0"
"0","Setup","0","","24","1","Authentication","0"
"21","12. Proposal Budget Submission","1","","2","4","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","5. Proposal functionality","0","","3","9","","0"
"0","Setup","0","","0","3","Register DRep","0"
"0","10. User Snap","0","","5","0","","0"
"0","Setup","0","","0","1","Wallet bootstrap","0"
"0","Setup","0","","1","3","Cleanup","0"
"0","Setup","0","","0","1","Proposal","0"
