"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3930","8F. Should display all comments with count indication.","mobile","Sat May 31 02:42:22 GMT 2025","passed","Sat May 31 02:42:26 GMT 2025","Mocked proposal","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","93054","9G_1. Should display correct vote counts on outcome details page in disconnect state","independent (desktop)","Sat May 31 02:37:32 GMT 2025","broken","Sat May 31 02:39:05 GMT 2025","Outcome details","9-outcomes/outcomes.spec.ts","",""
"Test skipped on mainnet to prevent affecting the production environment or using real ADA.","1008","8G. Should display the proper likes and dislikes count","proposal discussion","Sat May 31 02:48:55 GMT 2025","skipped","Sat May 31 02:48:56 GMT 2025","Proposal created logged in state","8-proposal-discussion/proposalDiscussion.loggedin.pd.spec.ts","",""
"","5650","9H_4B: Should display ""Data Not Verifiable"" message in outcomes when metadata hash and URL do not match and is incorrect ga format","loggedin (desktop)","Sat May 31 03:04:05 GMT 2025","passed","Sat May 31 03:04:11 GMT 2025","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.loggedin.spec.ts","",""
"","11691","2K_2. Should sort DReps","mobile","Sat May 31 02:40:09 GMT 2025","passed","Sat May 31 02:40:21 GMT 2025","","2-delegation/delegation.spec.ts","",""
"Test skipped on mainnet to prevent affecting the production environment or using real ADA.","494","7H_1. Should submit a info action proposal as governance action","proposal submission","Sat May 31 03:05:19 GMT 2025","skipped","Sat May 31 03:05:19 GMT 2025","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"Test skipped on mainnet to prevent affecting the production environment or using real ADA.","677","3N_2. Should reject invalid dRep metadata anchor on edit dRep","dRep","Sat May 31 03:05:25 GMT 2025","skipped","Sat May 31 03:05:26 GMT 2025","Validation of edit dRep Form > Metadata anchor Validation","3-drep-registration/editDRep.dRep.spec.ts","",""
"","25580","11B_1. Should search for budget proposals by title","mobile","Sat May 31 02:38:34 GMT 2025","passed","Sat May 31 02:39:00 GMT 2025","Budget proposal list manipulation","11-proposal-budget/proposalBudget.spec.ts","",""
"","72831","2P. Should enable sharing of DRep details","mobile","Sat May 31 02:40:26 GMT 2025","failed","Sat May 31 02:41:38 GMT 2025","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","5500","9C_2A. Should sort Governance Action Type on outcomes page in disconnect state","mobile","Sat May 31 02:42:30 GMT 2025","passed","Sat May 31 02:42:36 GMT 2025","Outcomes page > outcome sorting and filtering","9-outcomes/outcomes.spec.ts","",""
"","9205","2O. Should load more DReps on show more","mobile","Sat May 31 02:40:16 GMT 2025","passed","Sat May 31 02:40:26 GMT 2025","","2-delegation/delegation.spec.ts","",""
"","5650","10A. Should open feedback modal","mobile","Sat May 31 02:38:03 GMT 2025","passed","Sat May 31 02:38:08 GMT 2025","","10-user-snap/userSnap.spec.ts","",""
"Test skipped on mainnet to prevent affecting the production environment or using real ADA.","699","7N. Should submit a draft proposal","proposal discussion","Sat May 31 02:48:55 GMT 2025","skipped","Sat May 31 02:48:55 GMT 2025","Proposal Draft","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","66920","4P_4: Should display Data Not Verifiable message in live voting when metadata hash and URL do not match and is incorrect ga format","mobile","Sat May 31 02:41:16 GMT 2025","failed","Sat May 31 02:42:23 GMT 2025","Invalid Live voting Metadata","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","5593","4M. Should show view-all categorized governance actions","mobile","Sat May 31 02:41:04 GMT 2025","passed","Sat May 31 02:41:10 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
