"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","test_drep_voting_power[registered_drep1]","test_cases","Sat May 17 00:19:36 GMT 2025","passed","Sat May 17 00:19:36 GMT 2025","","test_drep","",""
"","1160","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Sat May 17 00:19:26 GMT 2025","passed","Sat May 17 00:19:27 GMT 2025","","test_ada_holder","",""
"","730","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Sat May 17 00:19:29 GMT 2025","passed","Sat May 17 00:19:29 GMT 2025","","test_ada_holder","",""
"","726","test_drep_voting_power[registered_drep0]","test_cases","Sat May 17 00:19:34 GMT 2025","passed","Sat May 17 00:19:35 GMT 2025","","test_drep","",""
"","180","test_drep_get_info[registered_drep1]","test_cases","Sat May 17 00:19:36 GMT 2025","passed","Sat May 17 00:19:36 GMT 2025","","test_drep","",""
"","733","test_drep_getVotes[registered_drep0]","test_cases","Sat May 17 00:19:34 GMT 2025","passed","Sat May 17 00:19:34 GMT 2025","","test_drep","",""
"","738","test_get_transaction_status","test_cases","Sat May 17 00:19:40 GMT 2025","passed","Sat May 17 00:19:41 GMT 2025","","test_misc","",""
"","299","test_get_epoch_param","test_cases","Sat May 17 00:19:36 GMT 2025","passed","Sat May 17 00:19:37 GMT 2025","","test_misc","",""
"","734","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Sat May 17 00:19:28 GMT 2025","passed","Sat May 17 00:19:29 GMT 2025","","test_ada_holder","",""
"","903","test_get_network_total_stake","test_cases","Sat May 17 00:19:39 GMT 2025","passed","Sat May 17 00:19:40 GMT 2025","","test_misc","",""
"","729","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Sat May 17 00:19:27 GMT 2025","passed","Sat May 17 00:19:28 GMT 2025","","test_ada_holder","",""
"","4246","test_list_drep","test_cases","Sat May 17 00:19:29 GMT 2025","passed","Sat May 17 00:19:34 GMT 2025","","test_drep","",""
"","642","test_list_proposal","test_cases","Sat May 17 00:19:41 GMT 2025","passed","Sat May 17 00:19:42 GMT 2025","","test_proposal","",""
"","176","test_drep_get_info[registered_drep0]","test_cases","Sat May 17 00:19:35 GMT 2025","passed","Sat May 17 00:19:35 GMT 2025","","test_drep","",""
"","896","test_drep_getVotes[registered_drep1]","test_cases","Sat May 17 00:19:35 GMT 2025","passed","Sat May 17 00:19:36 GMT 2025","","test_drep","",""
"","737","test_get_network_info","test_cases","Sat May 17 00:19:40 GMT 2025","passed","Sat May 17 00:19:40 GMT 2025","","test_misc","",""
"","1974","test_get_network_metrics","test_cases","Sat May 17 00:19:37 GMT 2025","passed","Sat May 17 00:19:39 GMT 2025","","test_misc","",""
"","2611","test_get_proposal","test_cases","Sat May 17 00:19:42 GMT 2025","passed","Sat May 17 00:19:44 GMT 2025","","test_proposal","",""
"","978","test_epoch_boundary","test_cases","Sat May 17 00:19:44 GMT 2025","passed","Sat May 17 00:19:45 GMT 2025","","test_proposal","",""
