"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","791","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Sun Aug 24 00:22:04 UTC 2025","passed","Sun Aug 24 00:22:05 UTC 2025","","test_ada_holder","",""
"","774","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Sun Aug 24 00:22:05 UTC 2025","passed","Sun Aug 24 00:22:06 UTC 2025","","test_ada_holder","",""
"","1114","test_get_network_total_stake","test_cases","Sun Aug 24 00:22:18 UTC 2025","passed","Sun Aug 24 00:22:19 UTC 2025","","test_misc","",""
"","767","test_get_network_info","test_cases","Sun Aug 24 00:22:19 UTC 2025","passed","Sun Aug 24 00:22:20 UTC 2025","","test_misc","",""
"","776","test_get_transaction_status","test_cases","Sun Aug 24 00:22:20 UTC 2025","passed","Sun Aug 24 00:22:21 UTC 2025","","test_misc","",""
"","770","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Sun Aug 24 00:22:03 UTC 2025","passed","Sun Aug 24 00:22:04 UTC 2025","","test_ada_holder","",""
"","6349","test_list_drep","test_cases","Sun Aug 24 00:22:06 UTC 2025","passed","Sun Aug 24 00:22:12 UTC 2025","","test_drep","",""
"","774","test_drep_getVotes[registered_drep0]","test_cases","Sun Aug 24 00:22:12 UTC 2025","passed","Sun Aug 24 00:22:13 UTC 2025","","test_drep","",""
"","770","test_drep_getVotes[registered_drep1]","test_cases","Sun Aug 24 00:22:14 UTC 2025","passed","Sun Aug 24 00:22:15 UTC 2025","","test_drep","",""
"","210","test_drep_voting_power[registered_drep1]","test_cases","Sun Aug 24 00:22:15 UTC 2025","passed","Sun Aug 24 00:22:15 UTC 2025","","test_drep","",""
"","1793","test_epoch_boundary","test_cases","Sun Aug 24 00:22:38 UTC 2025","passed","Sun Aug 24 00:22:40 UTC 2025","","test_proposal","",""
"","13286","test_get_proposal","test_cases","Sun Aug 24 00:22:25 UTC 2025","passed","Sun Aug 24 00:22:38 UTC 2025","","test_proposal","",""
"","221","test_drep_get_info[registered_drep1]","test_cases","Sun Aug 24 00:22:15 UTC 2025","passed","Sun Aug 24 00:22:15 UTC 2025","","test_drep","",""
"","327","test_get_epoch_param","test_cases","Sun Aug 24 00:22:15 UTC 2025","passed","Sun Aug 24 00:22:16 UTC 2025","","test_misc","",""
"","2542","test_get_network_metrics","test_cases","Sun Aug 24 00:22:16 UTC 2025","passed","Sun Aug 24 00:22:18 UTC 2025","","test_misc","",""
"","767","test_drep_voting_power[registered_drep0]","test_cases","Sun Aug 24 00:22:13 UTC 2025","passed","Sun Aug 24 00:22:13 UTC 2025","","test_drep","",""
"","1357","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Sun Aug 24 00:22:02 UTC 2025","passed","Sun Aug 24 00:22:03 UTC 2025","","test_ada_holder","",""
"","788","test_drep_get_info[registered_drep0]","test_cases","Sun Aug 24 00:22:13 UTC 2025","passed","Sun Aug 24 00:22:14 UTC 2025","","test_drep","",""
"","3694","test_list_proposal","test_cases","Sun Aug 24 00:22:21 UTC 2025","passed","Sun Aug 24 00:22:25 UTC 2025","","test_proposal","",""
