"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123","test_drep_voting_power[registered_drep0]","test_cases","Thu Feb 20 10:23:07 GMT 2025","passed","Thu Feb 20 10:23:07 GMT 2025","","test_drep","",""
"","130","test_drep_get_info[registered_drep1]","test_cases","Thu Feb 20 10:23:08 GMT 2025","passed","Thu Feb 20 10:23:08 GMT 2025","","test_drep","",""
"","124","test_drep_getVotes[registered_drep0]","test_cases","Thu Feb 20 10:23:07 GMT 2025","passed","Thu Feb 20 10:23:07 GMT 2025","","test_drep","",""
"","164","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Thu Feb 20 10:23:04 GMT 2025","passed","Thu Feb 20 10:23:05 GMT 2025","","test_ada_holder","",""
"","98","test_get_epoch_param","test_cases","Thu Feb 20 10:23:08 GMT 2025","passed","Thu Feb 20 10:23:08 GMT 2025","","test_misc","",""
"","680","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Thu Feb 20 10:23:04 GMT 2025","passed","Thu Feb 20 10:23:04 GMT 2025","","test_ada_holder","",""
"","131","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Thu Feb 20 10:23:05 GMT 2025","passed","Thu Feb 20 10:23:05 GMT 2025","","test_ada_holder","",""
"","140","test_drep_getVotes[registered_drep1]","test_cases","Thu Feb 20 10:23:07 GMT 2025","passed","Thu Feb 20 10:23:07 GMT 2025","","test_drep","",""
"","2740","test_get_network_metrics","test_cases","Thu Feb 20 10:23:08 GMT 2025","passed","Thu Feb 20 10:23:11 GMT 2025","","test_misc","",""
"","530","test_epoch_boundary","test_cases","Thu Feb 20 10:23:13 GMT 2025","passed","Thu Feb 20 10:23:13 GMT 2025","","test_proposal","",""
"","132","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Thu Feb 20 10:23:05 GMT 2025","passed","Thu Feb 20 10:23:05 GMT 2025","","test_ada_holder","",""
"","338","test_list_proposal","test_cases","Thu Feb 20 10:23:11 GMT 2025","passed","Thu Feb 20 10:23:11 GMT 2025","","test_proposal","",""
"","2130","test_list_drep","test_cases","Thu Feb 20 10:23:05 GMT 2025","passed","Thu Feb 20 10:23:07 GMT 2025","","test_drep","",""
"","1576","test_get_proposal","test_cases","Thu Feb 20 10:23:11 GMT 2025","passed","Thu Feb 20 10:23:13 GMT 2025","","test_proposal","",""
"","132","test_drep_get_info[registered_drep0]","test_cases","Thu Feb 20 10:23:07 GMT 2025","passed","Thu Feb 20 10:23:07 GMT 2025","","test_drep","",""
"","121","test_get_transaction_status","test_cases","Thu Feb 20 10:23:11 GMT 2025","passed","Thu Feb 20 10:23:11 GMT 2025","","test_misc","",""
"","120","test_drep_voting_power[registered_drep1]","test_cases","Thu Feb 20 10:23:07 GMT 2025","passed","Thu Feb 20 10:23:08 GMT 2025","","test_drep","",""
