"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","132","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Fri Aug 02 12:02:57 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","107","test_cases","test_drep","","","","test_drep_voting_power[registered_drep0]",""
"passed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","117","test_cases","test_misc","","","","test_get_epoch_param",""
"passed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","104","test_cases","test_drep","","","","test_drep_voting_power[registered_drep1]",""
"passed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","112","test_cases","test_drep","","","","test_drep_get_info[registered_drep0]",""
"passed","Fri Aug 02 12:02:57 GMT 2024","Fri Aug 02 12:02:57 GMT 2024","108","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"passed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","111","test_cases","test_drep","","","","test_drep_get_info[registered_drep1]",""
"passed","Fri Aug 02 12:02:57 GMT 2024","Fri Aug 02 12:02:57 GMT 2024","152","test_cases","test_drep","","","","test_drep_getVotes[registered_drep0]",""
"passed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","114","test_cases","test_misc","","","","test_get_network_metrics",""
"passed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","115","test_cases","test_drep","","","","test_drep_getVotes[registered_drep1]",""
"passed","Fri Aug 02 12:02:58 GMT 2024","Fri Aug 02 12:02:58 GMT 2024","102","test_cases","test_misc","","","","test_get_transaction_status",""
"passed","Fri Aug 02 12:02:57 GMT 2024","Fri Aug 02 12:02:57 GMT 2024","125","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Fri Aug 02 12:02:57 GMT 2024","Fri Aug 02 12:02:57 GMT 2024","104","test_cases","test_ada_holder","","","","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]",""
"passed","Fri Aug 02 12:02:57 GMT 2024","Fri Aug 02 12:02:57 GMT 2024","266","test_cases","test_drep","","","","test_list_drep",""
"passed","Fri Aug 02 12:02:56 GMT 2024","Fri Aug 02 12:02:57 GMT 2024","500","test_cases","test_ada_holder","","","","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]",""
"failed","Fri Aug 02 12:02:59 GMT 2024","Fri Aug 02 12:02:59 GMT 2024","219","test_cases","test_proposal","","","","test_get_proposal",""
