"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","1. Wallet connect","0","","5","0","","0"
"0","7. Proposal submission","2","","34","0","","0"
"0","2. Delegation","9","","16","1","","0"
"1","6. Miscellaneous","3","","47","0","6A. Should be accessible from mobile","0"
"0","9. Outcomes","2","","7","0","","0"
"0","4. Proposal visibility","0","","16","1","","0"
"0","8. Proposal Discussion Forum","1","","17","0","","0"
"0","5. Proposal functionality","4","","8","0","","0"
"0","Setup","0","","18","0","Authentication","0"
"1","3. DRep registration","6","","14","0","","0"
"0","6. Miscellaneous","0","","13","0","","0"
"0","10. User Snap","0","","5","0","","0"
"0","","0","","0","1","","0"
"0","Setup","0","","1","0","Faucet","0"
"0","Setup","2","","1","0","Cleanup","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","2","0","Register DRep","0"
