"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","694","test_get_transaction_status","test_cases","Thu May 22 00:19:56 GMT 2025","passed","Thu May 22 00:19:57 GMT 2025","","test_misc","",""
"","610","test_list_proposal","test_cases","Thu May 22 00:19:57 GMT 2025","passed","Thu May 22 00:19:58 GMT 2025","","test_proposal","",""
"","150","test_drep_get_info[registered_drep1]","test_cases","Thu May 22 00:19:53 GMT 2025","passed","Thu May 22 00:19:53 GMT 2025","","test_drep","",""
"","1964","test_get_network_metrics","test_cases","Thu May 22 00:19:54 GMT 2025","passed","Thu May 22 00:19:55 GMT 2025","","test_misc","",""
"","1441","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Thu May 22 00:19:43 GMT 2025","passed","Thu May 22 00:19:45 GMT 2025","","test_ada_holder","",""
"","698","test_get_network_info","test_cases","Thu May 22 00:19:56 GMT 2025","passed","Thu May 22 00:19:56 GMT 2025","","test_misc","",""
"","710","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Thu May 22 00:19:46 GMT 2025","passed","Thu May 22 00:19:46 GMT 2025","","test_ada_holder","",""
"","709","test_drep_get_info[registered_drep0]","test_cases","Thu May 22 00:19:52 GMT 2025","passed","Thu May 22 00:19:53 GMT 2025","","test_drep","",""
"","652","test_epoch_boundary","test_cases","Thu May 22 00:20:00 GMT 2025","passed","Thu May 22 00:20:01 GMT 2025","","test_proposal","",""
"","705","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Thu May 22 00:19:46 GMT 2025","passed","Thu May 22 00:19:47 GMT 2025","","test_ada_holder","",""
"","139","test_drep_voting_power[registered_drep1]","test_cases","Thu May 22 00:19:53 GMT 2025","passed","Thu May 22 00:19:53 GMT 2025","","test_drep","",""
"","3699","test_list_drep","test_cases","Thu May 22 00:19:47 GMT 2025","passed","Thu May 22 00:19:51 GMT 2025","","test_drep","",""
"","313","test_get_network_total_stake","test_cases","Thu May 22 00:19:55 GMT 2025","passed","Thu May 22 00:19:56 GMT 2025","","test_misc","",""
"","690","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Thu May 22 00:19:45 GMT 2025","passed","Thu May 22 00:19:46 GMT 2025","","test_ada_holder","",""
"","703","test_drep_getVotes[registered_drep0]","test_cases","Thu May 22 00:19:51 GMT 2025","passed","Thu May 22 00:19:51 GMT 2025","","test_drep","",""
"","698","test_drep_voting_power[registered_drep0]","test_cases","Thu May 22 00:19:51 GMT 2025","passed","Thu May 22 00:19:52 GMT 2025","","test_drep","",""
"","246","test_get_epoch_param","test_cases","Thu May 22 00:19:53 GMT 2025","passed","Thu May 22 00:19:54 GMT 2025","","test_misc","",""
"","141","test_drep_getVotes[registered_drep1]","test_cases","Thu May 22 00:19:53 GMT 2025","passed","Thu May 22 00:19:53 GMT 2025","","test_drep","",""
"","2569","test_get_proposal","test_cases","Thu May 22 00:19:58 GMT 2025","passed","Thu May 22 00:20:00 GMT 2025","","test_proposal","",""
