"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87403","8J. Should sort the proposed governance action comments.","proposal discussion","Thu May 22 00:42:56 GMT 2025","passed","Thu May 22 00:44:23 GMT 2025","Proposal created logged in state","8-proposal-discussion/proposalDiscussion.loggedin.pd.spec.ts","",""
"","8279","2C. Should open wallet connection popup on delegate in disconnected state","independent (desktop)","Thu May 22 00:25:07 GMT 2025","passed","Thu May 22 00:25:15 GMT 2025","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","48206","7L. Should save proposal as a draft","proposal discussion","Thu May 22 00:41:41 GMT 2025","passed","Thu May 22 00:42:29 GMT 2025","Proposal Draft","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","9643","4P_2: Should display Data Missing message in live voting when metadata URL could not be found.","mobile","Thu May 22 00:31:36 GMT 2025","passed","Thu May 22 00:31:46 GMT 2025","Invalid Live voting Metadata","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","7966","2L. Should copy DRepId","independent (desktop)","Thu May 22 00:25:11 GMT 2025","passed","Thu May 22 00:25:19 GMT 2025","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","180524","9B_2. Should search outcomes proposal by title and id","loggedin (desktop)","Thu May 22 00:54:06 GMT 2025","broken","Thu May 22 00:57:07 GMT 2025","Outcomes page > Outcome details dependent test","9-outcomes/outcomes.loggedin.spec.ts","",""
"","4705","9H_2B: Should display ""Data Missing"" message in outcomes when metadata URL could not be found.","loggedin (desktop)","Thu May 22 00:54:36 GMT 2025","passed","Thu May 22 00:54:40 GMT 2025","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.loggedin.spec.ts","",""
"","9084","12B. Should access proposal creation page in connected state","budget proposal","Thu May 22 00:45:58 GMT 2025","passed","Thu May 22 00:46:07 GMT 2025","Budget proposal 01 wallet","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","68570","9H_1A: Should display ""Data Formatted Incorrectly"" message in outcomes when hash is valid but incorrect metadata format. in disconnect state","mobile","Thu May 22 00:33:55 GMT 2025","failed","Thu May 22 00:35:04 GMT 2025","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","8156","Create DRep 03 auth with username","budget proposal auth setup","Thu May 22 00:22:38 GMT 2025","passed","Thu May 22 00:22:46 GMT 2025","","proposal-budget.auth.setup.ts","",""
"","5697","Create AdaHolder 06 auth","adaholder auth setup","Thu May 22 00:36:36 GMT 2025","passed","Thu May 22 00:36:42 GMT 2025","","adaholder.auth.setup.ts","",""
"","6876","2Q. Should include DRep status and voting power on the DRep card","mobile","Thu May 22 00:30:55 GMT 2025","passed","Thu May 22 00:31:02 GMT 2025","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"This test is skipped in scheduled workflow.","1538","7H_1. Should submit a info action proposal as governance action","proposal submission","Thu May 22 00:57:13 GMT 2025","skipped","Thu May 22 00:57:15 GMT 2025","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","7163","9A_2. Should access Outcomes page in connected state","loggedin (desktop)","Thu May 22 00:53:44 GMT 2025","passed","Thu May 22 00:53:51 GMT 2025","Outcomes page","9-outcomes/outcomes.loggedin.spec.ts","",""
"","67020","12F_7. Should reject invalid data in “Submit” section","budget proposal","Thu May 22 00:50:31 GMT 2025","passed","Thu May 22 00:51:38 GMT 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","74352","12E_4. Should accept valid data in “Costing” section","budget proposal","Thu May 22 00:48:37 GMT 2025","passed","Thu May 22 00:49:52 GMT 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","87078","12J. Should verify created proposal appears in my proposals list","budget proposal","Thu May 22 00:51:35 GMT 2025","passed","Thu May 22 00:53:02 GMT 2025","","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","6727","2C. Should open wallet connection popup on delegate in disconnected state","mobile","Thu May 22 00:30:57 GMT 2025","passed","Thu May 22 00:31:03 GMT 2025","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","25050","11J. Should reply to any comments","budget proposal","Thu May 22 00:45:48 GMT 2025","passed","Thu May 22 00:46:13 GMT 2025","Budget proposal logged in state","11-proposal-budget/proposalBudget.loggedin.pb.spec.ts","",""
"","13949","4C_2. Should sort Governance Action Type on governance actions page","mobile","Thu May 22 00:31:15 GMT 2025","passed","Thu May 22 00:31:29 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","12531","8H. Should disable proposal interaction on a disconnected state.","mobile","Thu May 22 00:32:51 GMT 2025","passed","Thu May 22 00:33:04 GMT 2025","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
